date,year,month,grace_twsa_cm,gldas_precip,gldas_soil_moisture,gldas_et,gldas_air_temp
2002-04-01,2002,4,4.455740992143796,15.796713674024941,356.2306394908092,21.35215201285729,27.831148323560644
2002-05-01,2002,5,4.3850162652776215,18.95112743402745,350.57587731264096,12.315642054492045,33.42632645501585
2002-07-01,2002,7,4.3873927590629584,33.08531602455063,364.22021285297467,30.07544372024073,36.35025389604802
2002-08-01,2002,8,4.274524616157175,58.541694082204984,373.70096031568846,37.02027744527544,33.76816488021824
2002-09-01,2002,9,2.420718908304923,45.81425974294301,387.4661350010829,43.19516757818537,29.30703753553146
2002-10-01,2002,10,1.3787568841987006,4.647001056092372,373.23974950115087,21.12462926276149,25.434268021532358
2002-11-01,2002,11,2.601422605040421,5.538059368816578,364.53390203734176,10.173046486664346,19.496142627590054
2002-12-01,2002,12,2.747457044525889,9.02395212596871,361.05831683146545,8.619534459996231,14.829259601586722
2003-01-01,2003,1,3.1610194139438046,7.104709405245386,358.431890372064,10.677978744978194,13.685899362108756
2003-02-01,2003,2,5.885581771188481,71.79902486340937,375.74209293811697,23.824760007468143,16.187795197379522
2003-03-01,2003,3,4.792171336945707,37.22524771636612,388.34620180265244,51.03709516824923,20.902151114792485
2003-04-01,2003,4,5.387846554514653,22.108767637929216,377.2835451358923,35.89120553575277,27.84452652918547
2003-06-01,2003,6,6.647993358677707,33.25735748566454,363.9354577787708,19.575502675903806,36.401765973450104
2003-07-01,2003,7,7.636230885654914,129.77921971891885,409.919000990953,59.92228132093172,32.77320295558258
2003-08-01,2003,8,7.13294265835721,109.93680121763856,448.72177533005095,66.00650061730775,32.54222552234424
2003-09-01,2003,9,4.819949550126781,39.14180091347718,461.90616707713974,63.7829290242964,30.898012865889562
2003-10-01,2003,10,2.7215306002599045,1.5184651473352906,427.3048006449648,33.672265611708745,25.04202935889185
2003-11-01,2003,11,2.8912163293857955,7.496956873400403,407.5685192467415,14.858040771889481,17.983654650673355
2003-12-01,2003,12,2.861664149895038,4.613377670910222,399.73556010484765,9.765501654618276,14.531612120028496
2004-02-01,2004,2,1.7843541764854645,11.228313152839892,396.2280656181703,30.76450796849907,17.226811676392543
2004-03-01,2004,3,-0.14714600266322517,3.4909861956678547,370.1584008315864,28.34042392010529,24.865659892138016
2004-04-01,2004,4,-1.1174262904384014,27.375051416897943,358.9344584832881,19.790105401286734,29.483817489409702
2004-05-01,2004,5,-2.8514409986886196,19.816338951614433,361.1389927897158,17.80589757477674,33.43669371414733
2004-06-01,2004,6,-2.7309795464984385,53.57307229654174,373.9628160383763,39.20298353004865,35.68785696098515
2004-07-01,2004,7,-1.696227938141822,57.99428394065291,381.45039416699586,38.18783231985147,35.738985529775746
2004-08-01,2004,8,-1.7725387128853718,91.73174063351959,421.05977803621226,64.65270330534221,32.68202112397637
2004-09-01,2004,9,-3.41942213015921,22.329819595098172,404.10581244421354,41.911645999965906,31.440650207821115
2004-10-01,2004,10,-3.802914082097013,23.902093526764286,393.3784723390878,28.49135352878725,23.687183759133205
2004-11-01,2004,11,-4.2540469817633415,4.93212517086408,384.3256584464836,14.07419406112247,20.237991523911823
2004-12-01,2004,12,-2.5328524247794237,11.554568485432648,377.73536571596196,10.244484761732295,15.368019451611364
2005-01-01,2005,1,3.0081944458321153,34.26845001768445,386.7198793360971,18.923760147568483,11.772948673862205
2005-02-01,2005,2,6.26944555833524,69.98301942256991,423.8450458366489,29.56306400397035,13.728098146308847
